marker	class	copy_index	copy_len	address	size	file	line_first	line_last	hex
V26_STATE20_AFTER_FIPS_SLOT	state20	None	None	0x68031958	40	blobs/0001_V26_STATE20_AFTER_FIPS_SLOT_68031958_28.bin	873	876	405330c599fa2f6773449c8d0c0f14f3673a46937361dabb50499638fdcf5cb02aba8402c7323379
V26_OUT40_LOCAL_AFTER_FIPS_EBP_M40	out40	None	None	0x0023fc80	40	blobs/0001_V26_OUT40_LOCAL_AFTER_FIPS_EBP_M40_0023fc80_28.bin	878	881	db9d5afa3ba5052391052a52059b8086301a37c8aff929df99db1beaae767e8868d00f3588217b13
V26_AUX20_LOCAL_AFTER_FIPS_EBP_M18	aux20	None	None	0x0023fca8	20	blobs/0001_V26_AUX20_LOCAL_AFTER_FIPS_EBP_M18_0023fca8_14.bin	883	886	a6ff2f489d4afbb64b88ca145cf1b2b76542d298
V26_OUT_DEST_AFTER_COPY	out_dest	1	32	0x0023fda0	32	blobs/0001_V26_OUT_DEST_AFTER_COPY_copy01_len20_0023fda0_20.bin	959	962	db9d5afa3ba5052391052a52059b8086301a37c8aff929df99db1beaae767e88
V26_OUT40_LOCAL_AFTER_COPY_EBP_M40	out40	1	32	0x0023fc80	40	blobs/0001_V26_OUT40_LOCAL_AFTER_COPY_EBP_M40_copy01_len20_0023fc80_28.bin	964	967	db9d5afa3ba5052391052a52059b8086301a37c8aff929df99db1beaae767e8868d00f3588217b13
V26_SELFTEST_STATIC_SEED_6802F8B8	selftest	1	32	0x6802f8b8	20	blobs/0001_V26_SELFTEST_STATIC_SEED_6802F8B8_6802f8b8_14.bin	1041	1044	0102030405060708090a0b0c0d0e0f1011121314
V26_SELFTEST_EXPECTED_AFTER_6802F8CC	selftest	1	32	0x6802f8cc	20	blobs/0001_V26_SELFTEST_EXPECTED_AFTER_6802F8CC_6802f8cc_14.bin	1046	1049	24c506c0445b81786dc91c856e0df5c07c8804eb
V26_SELFTEST_STATIC_SEED_6802F8B8	selftest	1	32	0x6802f8b8	20	blobs/0002_V26_SELFTEST_STATIC_SEED_6802F8B8_6802f8b8_14.bin	1240	1243	0102030405060708090a0b0c0d0e0f1011121314
V26_SELFTEST_EXPECTED_AFTER_6802F8CC	selftest	1	32	0x6802f8cc	20	blobs/0002_V26_SELFTEST_EXPECTED_AFTER_6802F8CC_6802f8cc_14.bin	1245	1248	24c506c0445b81786dc91c856e0df5c07c8804eb
V26_STATE20_AFTER_FIPS_SLOT	state20	1	32	0x68031958	40	blobs/0002_V26_STATE20_AFTER_FIPS_SLOT_68031958_28.bin	2588	2591	24c506c0445b81786dc91c856e0df5c07c8804eb0000000000000000000000000000000000000000
V26_OUT40_LOCAL_AFTER_FIPS_EBP_M40	out40	1	32	0x0023f320	40	blobs/0002_V26_OUT40_LOCAL_AFTER_FIPS_EBP_M40_0023f320_28.bin	2593	2596	0ae81e95fc397b508d9a4e0dfdcd1a2c24e4728618dae526431bff1fd724c36b6332cc8446917f4f
V26_AUX20_LOCAL_AFTER_FIPS_EBP_M18	aux20	1	32	0x0023f348	20	blobs/0002_V26_AUX20_LOCAL_AFTER_FIPS_EBP_M18_0023f348_14.bin	2598	2601	0000000000000000000000000000000000000000
V26_OUT_DEST_AFTER_COPY	out_dest	2	40	0x0023f628	40	blobs/0002_V26_OUT_DEST_AFTER_COPY_copy02_len28_0023f628_28.bin	2690	2693	0ae81e95fc397b508d9a4e0dfdcd1a2c24e4728618dae526431bff1fd724c36b6332cc8446917f4f
V26_OUT40_LOCAL_AFTER_COPY_EBP_M40	out40	2	40	0x0023f320	40	blobs/0002_V26_OUT40_LOCAL_AFTER_COPY_EBP_M40_copy02_len28_0023f320_28.bin	2695	2698	0ae81e95fc397b508d9a4e0dfdcd1a2c24e4728618dae526431bff1fd724c36b6332cc8446917f4f
V26_SELFTEST_STACK_SOURCE_EBP_M28_AFTER	selftest	2	40	0x0023f664	20	blobs/0001_V26_SELFTEST_STACK_SOURCE_EBP_M28_AFTER_0023f664_14.bin	2788	2791	24c506c0445b81786dc91c856e0df5c07c8804eb
V26_SELFTEST_STATIC_SEED_6802F8B8	selftest	2	40	0x6802f8b8	20	blobs/0003_V26_SELFTEST_STATIC_SEED_6802F8B8_6802f8b8_14.bin	2793	2796	0102030405060708090a0b0c0d0e0f1011121314
V26_SELFTEST_EXPECTED_AFTER_6802F8CC	selftest	2	40	0x6802f8cc	20	blobs/0003_V26_SELFTEST_EXPECTED_AFTER_6802F8CC_6802f8cc_14.bin	2798	2801	24c506c0445b81786dc91c856e0df5c07c8804eb
V26_STATE20_AFTER_FIPS_SLOT	state20	2	40	0x68031958	40	blobs/0003_V26_STATE20_AFTER_FIPS_SLOT_68031958_28.bin	3747	3750	82a6f40a21b328910b4996ebd1b25b3f7755582fb9112f6fb1d0cccd138a6f7acbdb2df881e2d3f9
V26_OUT40_LOCAL_AFTER_FIPS_EBP_M40	out40	2	40	0x0023f630	40	blobs/0003_V26_OUT40_LOCAL_AFTER_FIPS_EBP_M40_0023f630_28.bin	3752	3755	64e4f1c06a49d5c82809a0b5a0acdb33d09e2a9ef8fcfb89730dd1507576d9b0c2f78a4b2a2f28a4
V26_AUX20_LOCAL_AFTER_FIPS_EBP_M18	aux20	2	40	0x0023f658	20	blobs/0003_V26_AUX20_LOCAL_AFTER_FIPS_EBP_M18_0023f658_14.bin	3757	3760	8eb86741a801f0d48fc4de0fda5ace5ebfd51e75
V26_OUT_DEST_AFTER_COPY	out_dest	3	40	0x0023f69c	40	blobs/0003_V26_OUT_DEST_AFTER_COPY_copy03_len28_0023f69c_28.bin	3847	3850	64e4f1c06a49d5c82809a0b5a0acdb33d09e2a9ef8fcfb89730dd1507576d9b0c2f78a4b2a2f28a4
V26_OUT40_LOCAL_AFTER_COPY_EBP_M40	out40	3	40	0x0023f630	40	blobs/0003_V26_OUT40_LOCAL_AFTER_COPY_EBP_M40_copy03_len28_0023f630_28.bin	3852	3855	64e4f1c06a49d5c82809a0b5a0acdb33d09e2a9ef8fcfb89730dd1507576d9b0c2f78a4b2a2f28a4
V26_STATE20_AFTER_FIPS_SLOT	state20	3	40	0x68031958	40	blobs/0004_V26_STATE20_AFTER_FIPS_SLOT_68031958_28.bin	4657	4660	c5db4a8cff316bfc3073df2387102de91ce9f89bf7a303fea984b94dc636c26ff7311a7382adb88a
V26_OUT40_LOCAL_AFTER_FIPS_EBP_M40	out40	3	40	0x0023fd14	40	blobs/0004_V26_OUT40_LOCAL_AFTER_FIPS_EBP_M40_0023fd14_28.bin	4662	4665	6529bc3f3317cdbf1b80bbcfe0e69fe8fe5e8050de0a9a43aa6675ac09a98c67d47732c0a736201a
V26_AUX20_LOCAL_AFTER_FIPS_EBP_M18	aux20	3	40	0x0023fd3c	20	blobs/0004_V26_AUX20_LOCAL_AFTER_FIPS_EBP_M18_0023fd3c_14.bin	4667	4670	a072ca2c5b9598ea9461b864dfda29b91592d443
V26_OUT_DEST_AFTER_COPY	out_dest	4	10	0x0023fdbc	10	blobs/0004_V26_OUT_DEST_AFTER_COPY_copy04_len0a_0023fdbc_0a.bin	4745	4748	6529bc3f3317cdbf1b80
V26_OUT40_LOCAL_AFTER_COPY_EBP_M40	out40	4	10	0x0023fd14	40	blobs/0004_V26_OUT40_LOCAL_AFTER_COPY_EBP_M40_copy04_len0a_0023fd14_28.bin	4750	4753	6529bc3f3317cdbf1b80bbcfe0e69fe8fe5e8050de0a9a43aa6675ac09a98c67d47732c0a736201a
V26_STATE20_AFTER_FIPS_SLOT	state20	4	10	0x68031958	40	blobs/0005_V26_STATE20_AFTER_FIPS_SLOT_68031958_28.bin	5544	5547	b58673456622ab71d07674c75cb6b08de2b6f08c8742ab9d88ef91a70df794795c31f00515517476
V26_OUT40_LOCAL_AFTER_FIPS_EBP_M40	out40	4	10	0x0023fc80	40	blobs/0005_V26_OUT40_LOCAL_AFTER_FIPS_EBP_M40_0023fc80_28.bin	5549	5552	c8be1c90ab5b91d69dc040420ee05eefaed3087d26ed0c27bb95ad9f02425561c6c623b516f9ef72
V26_AUX20_LOCAL_AFTER_FIPS_EBP_M18	aux20	4	10	0x0023fca8	20	blobs/0005_V26_AUX20_LOCAL_AFTER_FIPS_EBP_M18_0023fca8_14.bin	5554	5557	1d5373715121f26b61b02daf664222cbef0c5b26
V26_OUT_DEST_AFTER_COPY	out_dest	5	32	0x0023fda0	32	blobs/0005_V26_OUT_DEST_AFTER_COPY_copy05_len20_0023fda0_20.bin	5630	5633	c8be1c90ab5b91d69dc040420ee05eefaed3087d26ed0c27bb95ad9f02425561
V26_OUT40_LOCAL_AFTER_COPY_EBP_M40	out40	5	32	0x0023fc80	40	blobs/0005_V26_OUT40_LOCAL_AFTER_COPY_EBP_M40_copy05_len20_0023fc80_28.bin	5635	5638	c8be1c90ab5b91d69dc040420ee05eefaed3087d26ed0c27bb95ad9f02425561c6c623b516f9ef72
V26_STATE20_AFTER_FIPS_SLOT	state20	5	32	0x68031958	40	blobs/0006_V26_STATE20_AFTER_FIPS_SLOT_68031958_28.bin	6472	6475	96bdc2a170c1af300555e25a045f1c81755e4c0ac0a133bda70d26fb95abff14510eae9076bf6955
V26_OUT40_LOCAL_AFTER_FIPS_EBP_M40	out40	5	32	0x0023fc80	40	blobs/0006_V26_OUT40_LOCAL_AFTER_FIPS_EBP_M40_0023fc80_28.bin	6477	6480	6d372e4e3b1d4e63893bdff13e52dbd72e99530b7400210dcf81b55aaba38da16955901c640e0871
V26_AUX20_LOCAL_AFTER_FIPS_EBP_M18	aux20	5	32	0x0023fca8	20	blobs/0006_V26_AUX20_LOCAL_AFTER_FIPS_EBP_M18_0023fca8_14.bin	6482	6485	a0dd527ac886b69199f4fce1d66002127478393b
V26_OUT_DEST_AFTER_COPY	out_dest	6	32	0x0023fda0	32	blobs/0006_V26_OUT_DEST_AFTER_COPY_copy06_len20_0023fda0_20.bin	6558	6561	6d372e4e3b1d4e63893bdff13e52dbd72e99530b7400210dcf81b55aaba38da1
V26_OUT40_LOCAL_AFTER_COPY_EBP_M40	out40	6	32	0x0023fc80	40	blobs/0006_V26_OUT40_LOCAL_AFTER_COPY_EBP_M40_copy06_len20_0023fc80_28.bin	6563	6566	6d372e4e3b1d4e63893bdff13e52dbd72e99530b7400210dcf81b55aaba38da16955901c640e0871
